time,"Probe V min","Probe V max"
0.16175000011022256,0,0
0.4177500001102228,0,0
0.673750000110223,0,0
0.9297500001102232,0,0
1.1857500001102235,0,0
1.441750000110222,0,0
1.6977500001102221,0,0
1.9537500001102224,0,0
2.2097500001102226,0,0
2.465750000110223,0,0
2.721750000110223,0,0
2.9777500001102233,0,0
3.2337500001102235,0,0
3.4897500001102237,0,0
3.745750000110222,0,0
4.001750000110222,0,0
4.257750000110223,0,0
4.513750000110223,0,0
4.769750000110223,0,0
5.025750000110223,0,0
5.2817500001102236,0,0
5.537750000110222,0,0
5.793750000110222,0,0
6.0497500001102225,0,0
6.305750000110223,0,0
6.561750000110223,0,0
6.817750000110223,0,0
7.073750000110223,0,0
7.329750000110224,0,0
7.585750000110224,0,0
7.841750000110224,0,0
8.097750000110224,0,0
8.353750000110225,0,0
8.609750000110225,0,0
8.865750000110221,0,0
9.121750000110222,0,0
9.377750000110222,0,0
9.633750000110222,0,0
9.889750000110222,0,0
10.145750000110223,0,0
10.401750000110223,0,0
10.657750000110223,0,0
10.913750000110223,0,0
11.169750000110223,0,0
11.425750000110224,0,0
11.681750000110224,0,0
11.937750000110224,0,0
12.193750000110224,0,0
12.449750000110225,0,0
12.705750000110221,0,0
12.961750000110221,0,0
13.217750000110222,0,0
13.473750000110222,0,0
13.729750000110222,0,0
13.985750000110222,0,0
14.241750000110223,0,0
14.497750000110223,0,0
14.753750000110223,0,0
15.009750000110223,0,0
15.265750000110224,0,0
15.521750000110224,0,0
15.777750000110224,0,0
16.033750000110224,0,0
16.289750000110224,0,0
16.545750000110225,0,0
16.801750000110225,0,0
17.05775000011022,0,0
17.313750000110222,0,0
17.569750000110222,0,0
17.825750000110222,0,0
18.081750000110222,0,0
18.337750000110223,0,0
18.593750000110223,0,0
18.849750000110223,0,0
19.105750000110223,0,0
19.361750000110224,0,0
19.617750000110224,0,0
19.873750000110224,0,0
20.129750000110224,0,0
20.385750000110225,0,0
20.641750000110225,0,0
20.89775000011022,0,0
21.15375000011022,0,0
21.409750000110222,0,0
21.665750000110222,0,0
21.921750000110222,0,0
22.177750000110223,0,0
22.433750000110223,0,0
22.689750000110223,0,0
22.945750000110223,0,0
23.201750000110223,0,0
23.457750000110224,0,0
23.713750000110224,0,0
23.969750000110224,0,0
24.225750000110224,0,0
24.481750000110225,0,0
24.737750000110225,0,0
24.993750000110225,0,0
25.249750000110225,0,0
25.505750000110226,0,0
25.761750000110226,0,0
26.017750000110226,0,0
26.273750000110226,0,0
26.529750000110226,0,0
26.785750000110227,0,0
27.041750000110227,0,0
27.29775000011022,0,0
27.55375000011022,0,0
27.80975000011022,0,0
28.06575000011022,0,0
28.32175000011022,0,0
28.57775000011022,0,0
28.83375000011022,0,0
29.08975000011022,0,0
29.345750000110222,0,0
29.601750000110222,0,0
29.857750000110222,0,0
30.113750000110223,0,0
30.369750000110223,0,0
30.625750000110223,0,0
30.881750000110223,0,0
31.137750000110223,0,0
31.393750000110224,0,0
31.649750000110224,0,0
31.905750000110224,0,0
32.161750000110224,0,0
32.417750000110225,0,0
32.673750000110225,0,5
32.929750000110225,5,5
33.185750000110225,5,5
33.441750000110225,5,5
33.697750000110226,5,5
33.953750000110226,5,5
34.209750000110226,5,5
34.465750000110226,5,5
34.72175000011023,5,5
34.97775000011023,5,5
35.23375000011022,5,5
35.48975000011022,5,5
35.74575000011022,5,5
36.00175000011022,5,5
36.25775000011022,5,5
36.51375000011022,5,5
36.76975000011022,5,5
37.02575000011022,5,5
37.28175000011022,5,5
37.53775000011022,5,5
37.79375000011022,5,5
38.04975000011022,5,5
38.30575000011022,5,5
38.56175000011022,5,5
38.81775000011022,5,5
39.07375000011022,5,5
39.329750000110224,5,5
39.585750000110224,5,5
39.841750000110224,5,5
40.097750000110224,5,5
40.353750000110225,5,5
40.609750000110225,5,5
40.865750000110225,5,5
41.121750000110225,5,5
41.377750000110225,5,5
41.633750000110226,5,5
41.889750000110226,5,5
