time,"Probe V min","Probe V max"
0.24024999997885743,0,0
0.49624999997885766,0,0
0.7522499999788579,0,0
1.0082499999788581,0,0
1.2642499999788583,0,0
1.5202499999788586,0,0
1.7762499999788588,0,0
2.032249999978859,0,0
2.2882499999788593,0,0
2.5442499999788595,0,0
2.8002499999788597,0,0
3.05624999997886,0,0
3.31224999997886,0,0
3.5682499999788604,0,0
3.8242499999788606,0,0
4.080249999978861,0,0
4.336249999978861,0,0
4.592249999978861,0,0
4.8482499999788615,0,0
5.104249999978862,0,0
5.360249999978862,0,0
5.616249999978862,0,0
5.872249999978862,0,0
6.128249999978863,0,0
6.384249999978863,0,0
6.640249999978863,0,0
6.896249999978863,0,0
7.152249999978864,0,0
7.408249999978864,0,0
7.664249999978864,0,0
7.920249999978864,0,0
8.176249999978864,0,0
8.432249999978865,0,0
8.688249999978865,0,0
8.944249999978865,0,0
9.200249999978865,0,0
9.456249999978866,0,0
9.712249999978866,0,0
9.968249999978866,0,0
10.224249999978866,0,0
10.480249999978867,0,0
10.736249999978867,0,0
10.992249999978867,0,0
11.248249999978867,0,0
11.504249999978867,0,0
11.760249999978868,0,0
12.016249999978868,0,0
12.272249999978868,0,0
12.528249999978868,0,0
12.784249999978869,0,0
13.040249999978869,0,0
13.296249999978869,0,0
13.55224999997887,0,0
13.80824999997887,0,0
14.06424999997887,0,0
14.32024999997887,0,0
14.57624999997887,0,0
14.832249999978856,0,0
15.088249999978856,0,0
15.344249999978857,0,0
15.600249999978857,0,0
15.856249999978857,0,0
16.112249999978857,0,0
16.368249999978858,0,0
16.624249999978858,0,0
16.880249999978858,0,0
17.13624999997886,0,0
17.39224999997886,0,0
17.64824999997886,0,0
17.90424999997886,0,0
18.16024999997886,0,0
18.41624999997886,0,0
18.67224999997886,0,0
18.92824999997886,0,0
19.18424999997886,0,0
19.44024999997886,0,0
19.69624999997886,0,0
19.95224999997886,0,0
20.20824999997886,0,0
20.46424999997886,0,0
20.72024999997886,0,0
20.97624999997886,0,0
21.232249999978862,0,0
21.488249999978862,0,0
21.744249999978862,0,0
22.000249999978863,0,0
22.256249999978863,0,0
22.512249999978863,0,0
22.768249999978863,0,0
23.024249999978863,0,0
23.280249999978864,0,0
23.536249999978864,0,0
23.792249999978864,0,0
24.048249999978864,0,0
24.304249999978865,0,0
24.560249999978865,0,0
24.816249999978865,0,0
25.072249999978865,0,0
25.328249999978866,0,0
25.584249999978866,0,0
25.840249999978866,0,0
26.096249999978866,0,0
26.352249999978866,0,0
26.608249999978867,0,0
26.864249999978867,0,0
27.120249999978867,0,0
27.376249999978867,0,0
27.632249999978868,0,0
27.888249999978868,0,0
28.144249999978868,0,0
28.40024999997887,0,0
28.65624999997887,0,0
28.91224999997887,0,0
29.16824999997887,0,0
29.42424999997887,0,0
29.68024999997887,0,0
29.93624999997887,0,0
30.19224999997887,0,5
30.44824999997887,5,5
30.70424999997887,5,5
30.96024999997887,5,5
31.21624999997887,5,5
31.472249999978857,5,5
31.728249999978857,5,5
31.984249999978857,5,5
32.24024999997886,5,5
32.49624999997886,5,5
32.75224999997886,5,5
33.00824999997886,5,5
33.26424999997886,5,5
33.52024999997886,5,5
33.77624999997886,5,5
34.03224999997886,5,5
34.28824999997886,5,5
34.54424999997886,5,5
34.80024999997886,5,5
35.05624999997886,5,5
35.31224999997886,5,5
35.56824999997886,5,5
35.82424999997886,5,5
36.08024999997886,5,5
36.33624999997886,5,5
36.59224999997886,5,5
36.84824999997886,5,5
37.10424999997886,5,5
37.36024999997886,5,5
37.61624999997886,5,5
37.87224999997886,5,5
38.12824999997886,5,5
38.38424999997886,5,5
38.64024999997886,5,5
38.89624999997886,5,5
39.152249999978864,5,5
39.408249999978864,5,5
39.664249999978864,5,5
39.920249999978864,5,5
40.176249999978864,5,5
40.432249999978865,5,5
40.688249999978865,5,5
40.944249999978865,5,5
41.200249999978865,5,5
41.456249999978866,5,5
41.712249999978866,5,5
41.968249999978866,5,5
42.224249999978866,5,5
42.48024999997887,5,5
42.73624999997887,5,5
42.99224999997887,5,5
43.24824999997887,5,5
43.50424999997887,5,5
43.76024999997887,5,5
44.01624999997887,5,5
44.27224999997887,5,5
44.52824999997887,5,5
44.78424999997887,5,5
45.04024999997887,5,5
45.29624999997887,5,5
45.55224999997887,5,5
45.80824999997887,5,5
46.06424999997887,5,5
46.32024999997887,5,5
46.57624999997887,5,5
46.83224999997887,5,5
47.08824999997887,5,5
47.34424999997887,5,5
47.60024999997886,5,5
47.85624999997886,5,5
48.11224999997886,5,5
48.36824999997886,5,5
48.62424999997886,5,5
48.88024999997886,5,5
49.13624999997886,5,5
49.39224999997886,5,5
49.64824999997886,5,5
49.90424999997886,5,5
50.16024999997886,5,5
50.41624999997886,5,5
50.67224999997886,5,5
50.92824999997886,5,5
51.18424999997886,5,5
51.44024999997886,5,5
51.69624999997886,5,5
51.95224999997886,5,5
52.20824999997886,5,5
52.46424999997886,5,5
52.72024999997886,5,5
52.97624999997886,5,5
53.23224999997886,5,5
53.48824999997886,5,5
53.74424999997886,5,5
54.00024999997886,5,5
54.25624999997886,5,5
54.51224999997886,5,5
54.76824999997886,5,5
55.02424999997886,5,5
55.280249999978864,5,5
55.536249999978864,5,5
55.792249999978864,5,5
56.048249999978864,5,5
56.304249999978865,5,5
56.560249999978865,5,5
56.816249999978865,5,5
57.072249999978865,5,5
57.328249999978866,5,5
57.584249999978866,5,5
57.840249999978866,5,5
58.096249999978866,5,5
58.352249999978866,5,5
58.60824999997887,5,5
58.86424999997887,5,5
59.12024999997887,5,5
59.37624999997887,5,5
59.63224999997887,5,5
59.88824999997887,5,5
60.14424999997887,5,5
60.40024999997887,5,5
60.65624999997887,5,5
60.91224999997887,5,5
61.16824999997887,5,5
61.42424999997887,5,5
61.68024999997887,5,5
61.93624999997887,5,5
62.19224999997887,5,5
62.44824999997887,5,5
62.70424999997887,5,5
62.96024999997887,5,5
63.21624999997887,5,5
63.47224999997887,5,5
63.72824999997887,5,5
63.98424999997887,5,5
64.24024999997887,5,5
64.49624999997887,5,5
64.75224999997887,5,5
65.00824999997887,5,5
65.26424999997887,5,5
65.52024999997887,5,5
65.77624999997887,5,5
66.03224999997887,5,5
66.28824999997887,5,5
66.54424999997887,5,5
66.80024999997887,5,5
67.05624999997887,5,5
67.31224999997887,5,5
67.56824999997887,5,5
67.82424999997887,5,5
68.08024999997888,5,5
68.33624999997888,5,5
68.59224999997888,5,5
68.84824999997888,5,5
69.10424999997888,5,5
69.36024999997888,5,5
69.61624999997888,5,5
69.87224999997888,5,5
70.12824999997888,5,5
70.38424999997888,5,5
70.64024999997888,5,5
70.89624999997888,5,5
71.15224999997888,5,5
71.40824999997888,5,5
71.66424999997888,5,5
71.92024999997888,5,5
72.17624999997888,5,5
72.43224999997885,5,5
72.68824999997885,5,5
72.94424999997885,5,5
73.20024999997885,5,5
73.45624999997885,5,5
73.71224999997885,5,5
