time,"Probe V min","Probe V max"
241.14549999455463,0,0
241.40149999455463,0,0
241.65749999455463,0,0
241.91349999455463,0,0
242.16949999455463,0,0
242.42549999455463,0,0
242.68149999455463,0,0
242.93749999455463,0,0
243.19349999455463,0,0
243.44949999455463,0,0
243.70549999455463,0,0
243.96149999455463,0,0
244.21749999455463,0,0
244.47349999455463,0,0
244.72949999455463,0,0
244.98549999455463,0,0
245.24149999455463,0,0
245.49749999455463,0,0
245.75349999455463,0,0
246.00949999455463,0,0
246.26549999455463,0,0
246.52149999455463,0,0
246.77749999455463,0,0
247.03349999455463,0,0
247.28949999455463,0,0
247.54549999455463,0,0
247.80149999455463,0,0
248.05749999455463,0,0
248.31349999455463,0,0
248.56949999455463,0,0
248.82549999455463,0,0
249.08149999455463,0,0
249.33749999455463,0,0
249.59349999455463,0,0
249.84949999455463,0,0
250.10549999455463,0,0
250.36149999455463,0,0
250.61749999455463,0,0
250.87349999455463,0,0
251.12949999455464,0,0
251.38549999455464,0,0
251.64149999455464,0,0
251.89749999455464,0,0
252.15349999455464,0,0
252.40949999455464,0,0
252.66549999455464,0,0
252.92149999455464,0,5
253.17749999455464,5,5
253.43349999455464,5,5
253.68949999455464,5,5
253.94549999455464,5,5
254.20149999455464,5,5
254.45749999455464,5,5
254.71349999455464,5,5
254.96949999455464,5,5
255.22549999455464,5,5
255.48149999455464,5,5
255.73749999455464,5,5
255.99349999455464,5,5
256.24949999455464,5,5
256.5054999945546,5,5
256.76149999455464,5,5
257.0174999945546,5,5
257.27349999455464,5,5
257.5294999945546,5,5
257.78549999455464,5,5
258.0414999945546,5,5
258.29749999455464,5,5
258.5534999945546,5,5
258.80949999455464,5,5
259.0654999945546,5,5
259.32149999455464,5,5
259.5774999945546,5,5
259.83349999455464,5,5
260.0894999945546,5,5
260.34549999455464,5,5
260.6014999945546,5,5
260.85749999455464,5,5
261.1134999945546,5,5
261.36949999455464,5,5
261.6254999945546,5,5
261.88149999455464,5,5
262.1374999945546,5,5
262.39349999455465,5,5
262.6494999945546,5,5
262.90549999455465,5,5
263.1614999945546,5,5
263.41749999455465,5,5
263.6734999945546,5,5
263.92949999455465,5,5
264.1854999945546,5,5
264.44149999455465,5,5
264.6974999945546,5,5
264.95349999455465,5,5
265.2094999945546,5,5
265.46549999455465,5,5
265.7214999945546,5,5
265.97749999455465,5,5
266.2334999945546,5,5
266.48949999455465,5,5
266.7454999945546,5,5
267.00149999455465,5,5
267.2574999945546,5,5
267.51349999455465,5,5
267.7694999945546,5,5
268.02549999455465,5,5
268.2814999945546,5,5
268.53749999455465,5,5
268.7934999945546,5,5
269.04949999455465,5,5
269.3054999945546,5,5
269.56149999455465,5,5
269.8174999945546,5,5
270.07349999455465,5,5
270.3294999945546,5,5
270.58549999455465,5,5
